company,city,state,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
Prime Sushi,Kansas City,Missouri,http://www.primesushikc.com,full-service restaurant,Sushi + ramen + Korean restaurant,OPEN,"Active website, Yelp 397 reviews, 4980 Main St KC MO. Full menu: sushi, sashimi, ramen, Korean dishes. Near Country Club Plaza.",REVEAL,Pan-Asian restaurant in KC's Country Club Plaza area. 15 Apollo employees. BOP + WC + liquor. Est. premium $10K-$15K.
VIVIANOS FESTA ITALIANO,Fenton,Missouri,http://www.vivianosmarket.com,catering/food truck,Italian restaurant + grocery market,OPEN,"Active website, Yelp 226 reviews, 55 Fenton Plaza Fenton MO. Since 2003. Dine-in + Italian grocery + curbside pickup.",REVEAL,Italian restaurant + grocery in Fenton MO (St. Louis suburb). Since 2003. BOP + product liability (retail grocery) + WC. 22 Apollo employees. Est. premium $12K-$18K.
Bartolino's Restaurant,St. Louis,Missouri,http://www.bartolinosrestaurants.com,catering/food truck,"Italian restaurant group, 3 St. Louis locations",OPEN,"Active website, 3 confirmed locations (South, The Hill, Twin Oaks). Since 1969. Formal Italian dining.",REVEAL,Established St. Louis Italian restaurant group since 1969. 3 locations. 27 Apollo employees. BOP × 3 + WC + liquor. Est. premium $25K-$40K.
Dolce Bakery,Prairie Village,Kansas,http://www.dolcebakes.com,catering/food truck,Scratch bakery + wedding cakes,OPEN,"Active website, Yelp 127 reviews, 3930 W 69th Ter Prairie Village KS. Since 2007. Custom cakes, wedding catering, retail bakery.",REVEAL,Established KC metro scratch bakery + wedding cake specialist. 37 Apollo employees (larger than typical bakery). BOP + WC + catering/event liability. Est. premium $15K-$22K.
"Tippin's Gourmet Pies, LLC",Kansas City,Kansas,http://www.tippinspies.com,bakery/cafe,"Wholesale pie bakery, B2B grocery distribution",OPEN,"Active website, 5051 Speaker Rd KC KS. Wholesale bakery selling pies to grocery stores nationally. 25 Apollo employees.",REVEAL,Wholesale food manufacturer — pies sold to Hen House + 200+ grocers nationally. Products liability + WC + commercial auto (delivery) + property. Est. premium $18K-$28K.
Vista Drive In Reasturant,Manhattan,Kansas,http://www.vistadrivein.com,catering/food truck,"Classic drive-in diner, oldest restaurant in Manhattan KS",OPEN,"Active website, Yelp 82 reviews, 1911 Tuttle Creek Blvd Manhattan KS. Since 1964. Open 7 days. Famous Vistaburger.",REVEAL,Manhattan KS institution since 1964. 28 Apollo employees. BOP + WC. Not KC metro but MO/KS territory. Est. premium $12K-$18K.
Reverie Coffee Roasters,Wichita,Kansas,http://www.reverieroasters.com,bakery/cafe,Specialty coffee roaster + cafe + wholesale,OPEN,"Active website, Yelp 274 reviews, 2202 E Douglas Ave Wichita KS. USA Today 10 Best Independent Coffee Shop. Wholesale distribution + cafe.",REVEAL,Award-winning Wichita coffee roaster with cafe + wholesale B2B. Wichita is in KS territory. 13 Apollo employees. BOP + WC + commercial auto (delivery). Est. premium $10K-$15K. Note: Not KC metro — different market.
Pappy's Smokehouse,St. Louis,Missouri,http://www.pappyssmokehouse.com,catering/food truck,Famous St. Louis BBQ restaurant,OPEN,"Active website, Yelp 4835 reviews, 3106 Olive St St. Louis MO. Since 2008. Food Network #1 BBQ ribs. 28 Apollo employees.",REVEAL,Nationally recognized St. Louis BBQ landmark. Very high review volume. 28 Apollo employees. BOP + WC + commercial auto. Est. premium $15K-$22K. Note: Not KC metro — St. Louis market.
Room 39,Kansas City,Missouri,http://www.rm39.com,catering/food truck,"New American restaurant, KC neighborhood staple",OPEN,"Active website, Yelp 498 reviews, 1719 W 39th St KC MO. Brunch + lunch + dinner. Locally sourced ingredients.",REVEAL,KC neighborhood restaurant on 39th St corridor. 15 Apollo employees. BOP + WC. Est. premium $8K-$12K.
Fiorella's,Overland Park,Kansas,http://www.fiorellaskc.com,catering/food truck,"Fiorella's Jack Stack BBQ, KC BBQ institution",OPEN,"Confirmed as Fiorella's Jack Stack Barbecue, 9520 Metcalf Rd Overland Park KS. Zagat #1 BBQ. Multiple KC locations (OP, Plaza, Freight House, Martin City). 35 Apollo employees.",REVEAL,"KC BBQ institution — multiple locations, famous brand. 35 Apollo employees. Full bar. BOP × 4+ + WC + liquor + commercial auto. Est. premium $35K-$50K. Large account."
Rancho Grande Cantina Restaurant,Parkville,Missouri,http://www.rgcantina.com,full-service restaurant,"Mexican restaurant, 3 KC metro locations",OPEN,"Active website, Yelp 187 reviews, 11015 NW 45 Hwy Parkville MO. Since 1995, 3 locations in KC metro. Full cantina/bar.",REVEAL,3-location KC metro Mexican restaurant with full bar since 1995. 29 Apollo employees. BOP × 3 + WC + liquor. Est. premium $20K-$30K.
Off the Vine Catering,Leavenworth,Kansas,http://www.offthevinecatering.com,catering/food truck,Full-service catering + event venue (J.W. Crancer's),OPEN,"Confirmed as J.W. Crancer's Event Space & Off The Vine Catering Co (Lombardo's Hospitality Group), 530 Delaware Leavenworth KS. Weddings/events 40-400 guests.",REVEAL,Event venue + full-service catering in Leavenworth KS. Multi-line: BOP + WC + event liability + liquor. 22 Apollo employees. Est. premium $15K-$22K.
Old Shawnee Pizza,Shawnee,Kansas,http://www.shawneepizza.com,full-service restaurant,"Family-owned pizza restaurant, 2 locations",OPEN,"Active website, Yelp 273 reviews, 6000 Rogers Dr Shawnee KS. Since 1969, family-owned. 2 locations (Shawnee + Lenexa). Famous Crab Rangoon Pizza.",REVEAL,"KC metro pizza institution since 1969. Family-owned, 2 locations. 26 Apollo employees. BOP × 2 + WC. Est. premium $15K-$22K."
Plate,Kansas City,Missouri,http://www.platekc.com,catering/food truck,Modern Italian restaurant + catering,OPEN,"Active website, 701 E 63rd St KC MO. Modern Italian restaurant with catering for weddings/corporate events. Also has Leawood private dining.",REVEAL,Upscale Italian restaurant + catering operation. 32 Apollo employees. BOP + WC + catering/event liability. Est. premium $15K-$22K.
Kome Sushi,Parkville,Missouri,http://www.komesushikc.com,full-service restaurant,Japanese sushi + hibachi restaurant,OPEN,"Active website, Yelp 107 reviews, 10925 NW Hwy 45 Parkville MO. Sushi, teriyaki, hibachi, bento. Active on DoorDash/delivery.",REVEAL,Sushi + hibachi restaurant in Parkville MO (KC metro). 23 Apollo employees. BOP + WC + liquor. Est. premium $10K-$15K.
Eden Alley Cafe,Kansas City,Missouri,http://www.edenalley.com,catering/food truck,Vegetarian/vegan restaurant (CLOSED),CLOSED,Yelp shows permanently closed. Facebook confirmed not reopening. Located at 707 W 47th St KC MO. Equipment donated to charity.,SKIP,Confirmed permanently closed. No longer in business.
Red Snapper,Kansas City,Missouri,http://www.kcredsnapper.com,full-service restaurant,Pan-Asian restaurant (CLOSED),CLOSED,Yelp confirms permanently closed at 8430 Ward Pkwy KC MO. Pan-Asian/seafood restaurant.,SKIP,Confirmed permanently closed.
Nara Restaurant,Kansas City,Missouri,http://www.1617eventspace.com,full-service restaurant,Japanese sushi grill (CLOSED),CLOSED,Yelp + FOX4 KC confirmed permanently closed after 14 years at 1617 Main St KC MO. Space now occupied by Lula Southern Cookhouse.,SKIP,Confirmed permanently closed. Website is now for the event space only.
Gold China,Independence,Missouri,http://www.goldchinamiami.com,full-service restaurant,Chinese restaurant in Miami FL (not Independence MO),WRONG LOCATION,"Website goldchinamiami.com is for Gold China Chinese Restaurant at 15055 S Dixie Hwy, Miami FL 33176. No 'Gold China' found in Independence MO — only Gold Lion Chinese Restaurant.",SKIP,Apollo website belongs to a Miami FL restaurant. No match found in Independence MO. Possible Apollo data error.
Bones Co,Ottawa,Kansas,http://www.bonesdenver.com,bar/brewery,Asian fusion noodle house in Denver CO (CLOSED),WRONG LOCATION,"Website bonesdenver.com and Yelp confirm Bones is a Denver CO Asian fusion restaurant, not Ottawa Kansas. Also confirmed CLOSED per Yelp.",SKIP,"Wrong location (Denver CO, not Ottawa KS) + confirmed closed."
Happy Wok Chinese,Kansas City,Missouri,http://www.happywokchinese.com,full-service restaurant,Chinese restaurant in Hopatcong NJ (not KC MO),WRONG LOCATION,"Website happywokchinese.com is for Happy Wok Chinese Restaurant in Hopatcong, New Jersey. No Happy Wok Chinese found in Kansas City MO.",SKIP,Apollo website belongs to a New Jersey restaurant. Wrong location data in Apollo.
Thai Café,Kansas City,Missouri,http://www.thai.cafe,bakery/cafe,Belgian Thai restaurant chain (not KC MO),WRONG LOCATION,"Website thai.cafe is for a Belgian restaurant chain with 18 locations in Belgium, priced in euros. Not a Kansas City business.",SKIP,"Wrong location — thai.cafe is a Belgium restaurant chain, not a KC MO business."
"Irving Weber Associates, Inc.",Overland Park,Kansas,http://www.iwains.com,full-service restaurant,Insurance wholesaler (not a restaurant),MISMATCH,Company provides wholesale insurance solutions for automotive aftermarket industry. Not a restaurant or food business despite Apollo industry tag.,SKIP,"Wrong industry — insurance wholesale company, not food/restaurant."
Blast It Clean,Kansas City,Missouri,http://www.blastitclean.com,bakery/cafe,Pressure washing / exterior cleaning company,MISMATCH,"Blast It Clean is a commercial pressure washing and exterior cleaning company, not a bakery or food business.",SKIP,"Wrong industry — exterior cleaning company, not food/restaurant."
Elite Booth LLC,Raytown,Missouri,http://www.elitebooth.com,full-service restaurant,Photo booth rental company,MISMATCH,"Elite Booth is a photo booth rental company for events/weddings, not a restaurant.",SKIP,"Wrong industry — photo booth rental company, not food/restaurant."
Equip-Bid Auctions,Overland Park,Kansas,http://www.equip-bid.com,full-service restaurant,Online equipment auction platform,MISMATCH,"Equip-Bid is an online auction platform for equipment, not a restaurant or food business.",SKIP,"Wrong industry — online auction company, not food/restaurant."
Naka-Kon Anime Convention,Overland Park,Kansas,http://www.naka-kon.com,food/bev general,Annual anime convention (not a food business),MISMATCH,Naka-Kon is an annual anime/manga/cosplay convention held at Overland Park Convention Center. Not a food business.,SKIP,"Wrong industry — annual entertainment convention, not a food business."
"Seaboard Transport, Inc.",Mission,Kansas,http://www.seaboardtransport.net,food/bev general,Subsidiary of Seaboard Corporation (Fortune 500 agribusiness),OPEN,"Seaboard Transport is a subsidiary of Seaboard Corporation, a multinational Fortune 500 agribusiness (pork, Butterball turkey, cargo shipping). Way too large for Anvo.",SKIP,Fortune 500 subsidiary — premium far exceeds Anvo's $50K sweet spot. Handled by major national brokers.
"Select Brands, Inc.",Lenexa,Kansas,http://www.selectbrands.com,bakery/cafe,Kitchen appliance manufacturer/importer,MISMATCH,"Select Brands makes small kitchen appliances (Babycakes, Toastmaster, TRU brands). Not a food service business despite food-adjacent products.",SKIP,"Wrong industry for this list — kitchen appliance manufacturer, not food service."
Engrain LLC (engrain.us),Manhattan,Kansas,http://www.engrain.us,bakery/cafe,B2B food technology company (enzymes for baking/milling),OPEN,"Active website, confirmed operations in Manhattan KS. B2B food technology — enzyme additives for baking/milling industry. 17 Apollo employees.",MANUAL CHECK,"Legitimate company in MO/KS territory but B2B food tech, not a restaurant/food service. May have commercial insurance needs (E&O, products liability, WC) but unusual for this list. Edward should determine if worth pursuing."
Carolyn's Country Cousins,Liberty,Missouri,http://www.carolynspumpkinpatch.com,bakery/cafe,Seasonal pumpkin patch + farm entertainment venue,OPEN,"Website confirms seasonal pumpkin patch in Liberty MO (carolynspumpkinpatch.com). Operates Sept-Oct only. Has wine tasting, pumpkin donuts, farm animals.",MANUAL CHECK,Seasonal operation (Sept-Oct only). Has some food (donuts) but primarily farm entertainment. Insurance needs: GL + property + farm liability. Not typical food prospect. Edward should verify if worth pursuing.
Excel Linen Supply,Kansas City,Kansas,http://www.excellinen.com,full-service restaurant,Linen/uniform supply company for hospitality industry,OPEN,"Website confirms family-owned linen supplier in KC KS, exclusively serving restaurants/hotels/country clubs/casinos. Next-day delivery. Classified wrong by Apollo.",MANUAL CHECK,Not a restaurant — commercial linen delivery service. BUT legitimate commercial insurance prospect in KC KS: commercial property + auto fleet + WC + GL. Reclassify from food list. Edward should decide if worth pursuing as non-food commercial account.
Barsto Construction Inc,Kansas City,Missouri,http://www.barstoconstruction.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
ARC General Contracting,Lenexa,Kansas,http://www.arcgc.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
Piping Alloys Inc,Lenexa,Kansas,http://www.pipingalloys.com,bar/brewery,Non-food (wholesale),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
Goebel Mitts Construction,Overland Park,Kansas,http://www.goebelmitts.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
FINKLE + WILLIAMS Architecture,Lenexa,Kansas,http://www.finklewilliams.com,full-service restaurant,Non-food (architecture & planning),MISMATCH,Non-food name/industry: architecture & planning,SKIP,Auto-skipped: clearly non-food business on food/bev list
Plaza Street Partners,Leawood,Kansas,http://www.plazastreetpartners.com,full-service restaurant,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Industrial Sealing & Lubrication, inc.",Olathe,Kansas,http://www.islgroup.com,food/bev general,Non-food (oil & energy),MISMATCH,Non-food name/industry: oil & energy,SKIP,Auto-skipped: clearly non-food business on food/bev list
Crossroads Real Estate Group,Kansas City,Missouri,http://www.crossroads-kc.com,full-service restaurant,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Tilton, Thomas & Morgan, Inc.",Saint Joseph,Missouri,http://www.ttminsurance.com,bar/brewery,Non-food (insurance),MISMATCH,Non-food name/industry: insurance,SKIP,Auto-skipped: clearly non-food business on food/bev list
Main Street Properties/Events,Grandview,Missouri,http://www.mainstreet-properties.com,full-service restaurant,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
PKC Commercial Construction,Lenexa,Kansas,http://www.pkcc.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
Trumark Homes,Blue Springs,Missouri,http://www.markthebuilder.info,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Baldwin Insurance Agency, llc",Kearney,Missouri,http://www.baldwininsuranceagency.com,full-service restaurant,Non-food (insurance),MISMATCH,Non-food name/industry: insurance,SKIP,Auto-skipped: clearly non-food business on food/bev list
The Wellington Senior Living,Liberty,Missouri,http://www.wellingtonseniorliving.com,full-service restaurant,Non-food (hospital & health care),MISMATCH,Non-food name/industry: hospital & health care,SKIP,Auto-skipped: clearly non-food business on food/bev list
Complete Construction Service,Shawnee,Kansas,http://www.ccsconstructionservice.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Harmon Construction, Inc.",Olathe,Kansas,http://www.harmonconst.com,full-service restaurant,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
Tot Commercial Cleaning,Overland Park,Kansas,http://www.totcommercialcleaning.com,full-service restaurant,Non-food (facilities services),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
Dean Realty Co.,Kansas City,Missouri,http://www.deanrealty.com,bar/brewery,Non-food (commercial real estate),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Klover Architects, Inc.",Lenexa,Kansas,http://www.klover.net,full-service restaurant,Non-food (architecture & planning),MISMATCH,Non-food name/industry: architecture & planning,SKIP,Auto-skipped: clearly non-food business on food/bev list
Reardon Machine,Saint Joseph,Missouri,http://www.reardonmachine.com,food manufacturing,Non-food (mechanical or industrial engineering),MISMATCH,Non-food name/industry: mechanical or industrial engineering,SKIP,Auto-skipped: clearly non-food business on food/bev list
MSI GuaranteedWeather,Overland Park,Kansas,http://www.guaranteedweather.com,food/bev general,Non-food (financial services),MISMATCH,Non-food name/industry: financial services,SKIP,Auto-skipped: clearly non-food business on food/bev list
Smith Electric Vehicles,Kansas City,Missouri,http://www.smithev.com,food/bev general,Non-food (automotive),MISMATCH,Non-food name/industry: automotive,SKIP,Auto-skipped: clearly non-food business on food/bev list
Baird Realty Group,Lee's Summit,Missouri,http://www.bairdrealtygrp.com,food/bev general,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
Cancer Action,Overland Park,Kansas,http://www.canceractionkc.org,food/bev general,Non-food (hospital & health care),MISMATCH,Non-food name/industry: hospital & health care,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Realm Construction, Inc.",Blue Springs,Missouri,http://www.realmconstruction.com,food/bev general,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
Mainline Printing,Topeka,Kansas,http://www.mainlineprinting.com,bar/brewery,Non-food (printing),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
United Country | Heritage Brokers & Auctioneers,Kansas City,Missouri,http://www.buyheritage.com,bar/brewery,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
Westchester Village of Lenexa,Lenexa,Kansas,http://www.westchestervillagelenexa.com,full-service restaurant,Non-food (hospital & health care),MISMATCH,Non-food name/industry: hospital & health care,SKIP,Auto-skipped: clearly non-food business on food/bev list
Kansas State University Olathe,Olathe,Kansas,http://olathe.k-state.edu,food/bev general,Non-food (higher education),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
Warner Robinson LLC,Kansas City,Missouri,http://www.warner-robinson.com,food manufacturing,Non-food (accounting),MISMATCH,Non-food name/industry: accounting,SKIP,Auto-skipped: clearly non-food business on food/bev list
"TTG, Inc.",Higginsville,Missouri,http://www.ttgtech.net,food manufacturing,Non-food (textiles),MISMATCH,Non-food name/industry: textiles,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Stuppy Greenhouse, Inc",North Kansas City,Missouri,http://www.stuppy.com,food/bev general,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
St. Joe Petroleum Co.,Saint Joseph,Missouri,http://www.stjoepetroleum.com,food/bev general,Non-food (oil & energy),MISMATCH,Non-food name/industry: oil & energy,SKIP,Auto-skipped: clearly non-food business on food/bev list
Select Sites LLC,Kansas City,Missouri,http://www.selectsitesllc.com,full-service restaurant,Non-food (real estate),MISMATCH,Non-food name/industry: real estate,SKIP,Auto-skipped: clearly non-food business on food/bev list
St. Agnes Catholic School,Roeland Park,Kansas,http://www.stagneskc.org,food/bev general,Non-food (primary/secondary education),MISMATCH,Non-food name/industry: primary/secondary education,SKIP,Auto-skipped: clearly non-food business on food/bev list
"DataSource, Inc.",Kansas City,Missouri,http://www.datasourceinc.com,full-service restaurant,Non-food (management consulting),MISMATCH,Non-food name/industry: management consulting,SKIP,Auto-skipped: clearly non-food business on food/bev list
Omega Door and Hardware,Kansas City,Kansas,http://www.omega-kc.com,food/bev general,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
Connection Point Church,Raytown,Missouri,http://www.connectionpoint.tv,food/bev general,Non-food (religious institutions),MISMATCH,Non-food name/industry: religious institutions,SKIP,Auto-skipped: clearly non-food business on food/bev list
Shayashone,Cameron,Missouri,http://www.shayashone.com,food/bev general,Non-food (management consulting),MISMATCH,Non-food name/industry: management consulting,SKIP,Auto-skipped: clearly non-food business on food/bev list
Aladdin Hotel and Spa,Kansas City,Missouri,http://www.hialaddin.com,food/bev general,Non-food (food & beverages),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Wolf Construction, Inc.",Topeka,Kansas,http://www.wolfks.com,food/bev general,Non-food (construction),MISMATCH,Non-food name/industry: construction,SKIP,Auto-skipped: clearly non-food business on food/bev list
