Company Name,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Qualify Account,Prerequisite: Research Target Company,Prerequisite: Determine Research Guidelines
Feature Impact,Feature Impact,Cold,"",18,public relations & communications,edward@anvo-insurance.com,http://www.familyfeatures.com,http://www.linkedin.com/company/family-features,"",https://twitter.com/familyfeatures,5825 Dearborn St,Mission,Kansas,United States,66202,"5825 Dearborn St, Mission, Kansas, United States, 66202","listicles, roundups, public relations, marketing strategy, content strategy, editorial placement, content marketing, video distribution, storytelling, mat releases, infographics, social media, distribution, content creation, content development, public relations & communications services, services, content amplification, media outreach, content distribution, social media campaigns, demographic targeting, infographic design, media outreach campaigns, micro-holiday bundles, media & publishing, content series, b2c, brand messaging, marketing & advertising, multimedia content creation, content reporting, content guarantee, targeted content distribution, media placement, newswire distribution, content analytics, campaign promotion, media pickup augmentation, web search portals, libraries, archives, and other information services, recipe development, digital marketing, copywriting, video production, b2b, event planning, media coverage guarantee, earned media, geographic targeting, content series programs, product launch content, media partnerships, media network, brand awareness, trend forecasting, media network leverage, media relations, media outlet network, content promotion, consumer products & retail, consumer internet, consumers, internet, information technology & services, marketing, writing & editing, events services, public relations & communications",'+1 888-824-3337,"Cloudflare DNS, Outlook, Act-On, Microsoft Office 365, DigitalOcean, Slack, Hubspot, Pusher, Linkedin Marketing Solutions, Mobile Friendly, Ruby On Rails, New Relic, Sugar CRM, reCAPTCHA, Apache, Bootstrap Framework, Google Analytics, Twitter Advertising, Ubuntu, Google Font API, Google Tag Manager, Remote, Circle","",Merger / Acquisition,0,2025-10-01,45780000,"",69bc21efbca73300019b7ae6,2711,519,"Family Features Editorial Syndicate, Inc. is a content marketing and distribution company based in Mission, Kansas. Founded in 1974, it has a team of under 25 employees and generates approximately $10 million in revenue. The company specializes in delivering food, lifestyle, and home & garden content to consumers through a network of over 4,000 media outlets, newswires, and social media platforms.

Family Features offers comprehensive services that include strategic planning, content creation, distribution, and performance tracking. Their approach involves identifying client goals, developing engaging content such as articles and videos, and promoting it through various channels. The company also supports public relations efforts and amplifies brand stories through digital marketing, copywriting, and design. With nearly 50 years of experience, Family Features acts as a strategic partner for brands looking to enhance their media visibility and engagement.",1974,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69a7b41451b62f0001396400/picture,4media group (4media-group.com),5e78dbf22670d40098dedeac,"","","","","","",""
Food Business Resource,Food Business Resource,Cold,"",19,food & beverages,edward@anvo-insurance.com,"",http://www.linkedin.com/company/food-business-resource,"","",13444 Santa Fe Trail Dr,Lenexa,Kansas,United States,66215,"13444 Santa Fe Trail Dr, Lenexa, Kansas, United States, 66215","process engineering, sensory research, commercialization, food product development, taste tests, market research, package design, prototypes, consumer research, packaging design",'+1 720-636-5289,"","","","","","","",69bc21efbca73300019b7af5,"","","For more than 15 years, Food Business Consulting has helped develop, position, fine-tune, taken to market, made famous and revitalized an impressive list of brands and businesses, both large and small. 
The results we've generated for our clients are just one of the many reasons why companies around the world choose Food Business Consulting.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,"","","","","","","","",""
Le Fou Frog,Le Fou Frog,Cold,"",13,music,edward@anvo-insurance.com,http://www.lefoufrog.com,http://www.linkedin.com/company/le-fou-frog,"","",400 E 5th St,Kansas City,Missouri,United States,64106,"400 E 5th St, Kansas City, Missouri, United States, 64106","musicians, bars, french, nightlife, restaurants",'+1 816-474-6060,"Google Cloud Hosting, Mobile Friendly, Wix, Varnish","","","","","",1,69bc21efbca73300019b7b0e,"","","Le Fou Frog, in downtown Kansas City - voted Best French & Most Romantic for 23 years. Extraordinary steaks, seafood & more!","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
Sabor Brasil,Sabor Brasil,Cold,"",18,construction,edward@anvo-insurance.com,http://www.tasteofbrazilkc.com,http://www.linkedin.com/company/sabor-brasil,https://facebook.com/tobmkc,https://twitter.com/tobmkc,"",Overland Park,Kansas,United States,"","Overland Park, Kansas, United States","restaurant & bar, authentic cuisine, brazilian snacks, special event catering, food menu, brazilian desserts, brazilian snacks online, event catering kansas city, b2c, food truck, brazilian food delivery, catering services, brazilian dishes, food truck services, restaurants and other eating places, brazilian style lasagna, services, food delivery, brazilian catering kansas city, brazilian food truck rental, brazilian catering menu, food and beverage retail, brazilian food, brazilian cocktails bar, cheese bread, food truck kansas city, brazilian street food, brazilian party catering, brazilian meats, d2c, brazilian barbecue, brazilian desserts online, brazilian flavors, brazilian cheese bread, brazilian cuisine, family recipes, brazilian food online order, brazilian cocktails, brazilian food kansas city, authentic brazilian flavors, restaurant kansas city, restaurant, catering, brazilian restaurant, consumer products & retail, transportation & logistics, food & beverage retail, food & beverages, consumer goods, consumers",'+1 816-527-0400,"Cloudflare DNS, Outlook, Amazon AWS, CloudFlare Hosting, Yelp, Nginx, Google Analytics, Google Tag Manager","","","","","","",69bc21efbca73300019b7b0f,5812,72251,"","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
Main Street Properties/Events,Main Street Properties/Events,Cold,"",22,real estate,edward@anvo-insurance.com,http://www.mainstreet-properties.com,http://www.linkedin.com/company/main-street-properties-llc,"","",724 Main St,Grandview,Missouri,United States,64030,"724 Main St, Grandview, Missouri, United States, 64030","apartment with private entry, property support, relocation services, commercial properties, private entries, leasing services, commercial retail leasing, easy application process, residential rentals, townhomes for students, multi-unit residential, online payments, kalamazoo properties, secure properties, property portfolio, 24/7 maintenance, apartment amenities, leasing options, commercial spaces, student rentals near wmu, apartment with appliances, multi-bedroom units, construction & real estate, restaurant partnerships, townhomes, real estate, easy application, move-in ready commercial spaces, student housing, rental properties, washer and dryer, apartment leasing, services, multi-bedroom apartments, near wmu campus, leasing & property management, property management, internet included, commercial real estate, retail, property marketing, retail space with parking, mixed-use retail spaces, real estate services, mixed-use properties, retail storefronts, secure student housing, amenities, real estate management, retail leasing, student housing management, lessors of nonresidential buildings (except miniwarehouses), b2c, apartment with internet included, restaurant discounts for tenants, discounts at restaurants, tenant support, move-in ready spaces, commercial property management, tenant discounts, security, online rent payment, new construction, new construction properties, education, consumer products & retail, enterprise software, enterprises, computer software, information technology & services, b2b",'+1 269-344-3555,"Amazon AWS, reCAPTCHA, Google Analytics, Weebly, Mobile Friendly","","","","","","",69bc21efbca73300019b7b98,6513,53112,"Real Estate Property Management for Commercial, Multi-Family, Warehouse, Retail, Single-Family real estate",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
Coal Vines,Coal Vines,Cold,"",18,hospitality,edward@anvo-insurance.com,http://www.coalvines.com,http://www.linkedin.com/company/coal-vines,"","",618 Ward Pkwy,Kansas City,Missouri,United States,64112-2104,"618 Ward Pkwy, Kansas City, Missouri, United States, 64112-2104","bars, italian, nightlife, pizza, restaurants, wine bars",'+1 214-855-4999,"Amazon AWS, Render, Remote","","","","","",1,69bc21efbca73300019b7b9d,"","","","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
The Farmhouse KC,The Farmhouse KC,Cold,"",24,restaurants,edward@anvo-insurance.com,http://www.eatatthefarmhouse.com,http://www.linkedin.com/company/the-farmhouse-kc,https://www.facebook.com/TheFarmhouseKC/,"",300 Delaware St,Kansas City,Missouri,United States,64105,"300 Delaware St, Kansas City, Missouri, United States, 64105","b2c, vegan options, breakfast dishes, kc bbq, catering, d2c, kansas city, services, farm-fresh, gourmet brunch experience, local food, farm-to-table tradition, delivery, house-made biscuits, local farmers, kansas city cuisine, dining experience, special events, breakfast, menu exploration, carryout, local honey, local sourcing, brunch menu, brunch, reservations, lunch, local farms, sustainable sourcing, local produce, restaurants, gift cards, chef vince paredes, food service, farm-to-table, elevated brunch, restaurants and other eating places, tailgate feast, kansas city restaurant, locally sourced ingredients, elevated breakfast, hearty entrees, restaurant, bbq dinner, local ingredients, gourmet brunch, consumer products & retail, american (new)",'+1 816-569-6032,"Google Cloud Hosting, Varnish, Mobile Friendly, Wix, Android, Remote, Circle","","","","","",1,69bc21efbca73300019b7b9e,5812,72251,"Farm to table, tip to tail restaurant sourcing from local farmers from Kansas and Missouri.  By sourcing from our local farmers, we ensure our local economy grows and our guests receive delicious food with top-quality ingredients.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6761066b5b1c5400012e0fc8/picture,"","","","","","","","",""
El Charo,El Charo,Cold,"",23,food & beverages,edward@anvo-insurance.com,http://www.elcharrocafe.com,http://www.linkedin.com/company/el-charo,https://facebook.com/pages/El-Charro-Cafe/147937307598,https://twitter.com/elcharrobites,"",Pittsburg,Kansas,United States,66762,"Pittsburg, Kansas, United States, 66762","bars, cafes, cocktail bars, desserts, food, mexican, nightlife, restaurants, tacos",'+1 520-622-1922,"Slack, Woo Commerce, Facebook Widget, Typekit, reCAPTCHA, Google Font API, YouTube, GrubHub, WordPress.org, Facebook Custom Audiences, Facebook Login (Connect), Mobile Friendly, Bootstrap Framework, Apache, Google Tag Manager","","","","",3525000,2,69bc21efbca73300019b7ba1,"","","El Charo is a Food and Beverages company located in 3102 N Broadway St, Pittsburg, Kansas, United States.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
Tom's Town Distilling Co.,Tom's Town Distilling,Cold,"",24,food production,edward@anvo-insurance.com,http://www.toms-town.com,http://www.linkedin.com/company/tom's-town-distilling-co-,"","",1701 Main St,Kansas City,Missouri,United States,64108,"1701 Main St, Kansas City, Missouri, United States, 64108","beverage manufacturing, cocktail in a can, kansas city speakeasy, kansas city, machine series spirits, handcrafted spirits, premium spirits, b2c, historical spirits, retail, e-commerce, bourbon, distillery experience, prohibition era, prohibition-inspired distillery, spirits tasting room, gin, vodka, kansas city spirits, distillery, whiskey, distilling, small batch, aged bourbon, distilleries, pendergast history, d2c, artisanal spirits, flavored gin, limited reserve bourbon, award-winning spirits, services, artisanal production, artful craft spirits, craft cocktail cans, distillery wedding venue, local distillery, prohibition history, canned cocktails, craft spirits, manufacturing, distribution, consumer products & retail, food production, consumer internet, consumers, internet, information technology & services, wine & spirits, mechanical or industrial engineering","","Gmail, Google Apps, Flywheel, Slack, Google Font API, YouTube, Yelp, Mobile Friendly, Shopify, Google Tag Manager, Squarespace ECommerce, Vimeo, Typekit, Remote, IoT","","","","","","",69bc21efbca73300019b7ba9,2086,31214,"Tom's Town Distilling Co. draws its name and inspiration from the country's most polarizing and corrupt political boss, Tom Pendergast. Pendergast had roots in the liquor business as a saloon keeper and as the founder of a wholesale liquor company.

Under Pendergast's influence, Kansas City flouted Prohibition. Tom's irreverence for federal statutes in favor of bare-knuckled local business dealings allowed his town to emerge as the ""Paris of the Plains."" Money, jazz, and spirits flowed like water, right out in the open. When a newspaperman asked Pendergast how he justified ignoring Prohibition, he shrugged and said,  ""The people are thirsty.""

Today the people are still thirsty in Kansas City and across the U.S. We aim to satisfy that thirst by providing spirits in the time-honored ways that produce superior products. You can taste our high standards and attention to detail in every sip of the gin, vodka, and bourbon we make on Main Street in downtown Kansas City.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6719f1506f84130001a25ca6/picture,"","","","","","","","",""
Sunnycrest Farm,Sunnycrest Farm,Cold,"",11,farming,edward@anvo-insurance.com,http://www.sunnycrestfarmnh.com,http://www.linkedin.com/company/sunnycrest-farm,https://www.facebook.com/sunnycrestfarm/,"","",Blue Mound,Kansas,United States,66010,"Blue Mound, Kansas, United States, 66010","arts & entertainment, farmers market, farms, food, fruits & veggies, pick your own farms, specialty food",'+1 603-432-9652,"Blue Host, Nginx, Facebook Like Button, WordPress.org","","","","",16283000,1,69bc21f0bca73300019b7c1c,"5331, 5990","","Sunnycrest Farm apple farm offers pick-your-own apples, strawberries, blueberries and cherries, a farmer's market and bakery with local fruits & vegetables.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
Kansas City Community Gardens (KCCG),Kansas City Community Gardens,Cold,"",27,food production,edward@anvo-insurance.com,http://www.kccg.org,http://www.linkedin.com/company/kansas-city-community-gardens,https://www.facebook.com/KansasCityCommunityGardens/,https://twitter.com/kc_gardens,6917 Kensington Ave,Kansas City,Missouri,United States,64132,"6917 Kensington Ave, Kansas City, Missouri, United States, 64132","gardening, social advocacy organizations, scout badge workshops, garden rental plots, fruit trees, b2c, schoolyard gardens, services, schoolyard orchards, technical assistance, garden education, low-cost seeds, gardens at sunset, garden workshops, beanstalk childrens garden, community partner gardens, education, garden supplies, virtual workshops, vegetable seedlings, giving grove orchards, garden support, sustainable food, non-profit organizations, educational services, community impact, community gardens, grow your own food, fall family festival, urban gardening, urban agriculture, seed packets, garden tours, garden plots, agriculture, planting plans, orchards, gardening guide sheets, gardening resources, community development, organic produce, non-profit, nonprofit organization management",'+1 816-931-3877,"Outlook, GoDaddy Hosting, iContact, WordPress.org, Google Font API, Formassembly, Mobile Friendly, Varnish, YouTube, Remote","","","","","","",69bc21f0bca73300019b7c1e,8611,81331,"The mission of Kansas City Community Gardens is to assist low-income households and community groups in the Kansas City metropolitan area to produce vegetables and fruit from garden plots located in backyards, vacant lots, and at community sites.

KCCG helps over18,000 individuals in the Kansas City area each year. The organization maintains or partners with over 500 community garden sites. 

KCCG provides free gardening workshops, technical assistance, garden supplies, and other resources to individuals, families, neighborhood organizations, nonprofit agencies, and other groups throughout the metropolitan Kansas City area through the Self-Help Gardening and Community Partner Gardens programs. In addition, KCCG's Schoolyard Gardens program staff help schools to create and grow gardens to improve students' knowledge about nutrition and the importance of fresh fruits and vegetables to a healthy diet. KCCG's Beanstalk Children's Garden complements the efforts of Schoolyard Gardens staff by allowing school and community groups, families, and other visitors to learn about plant science, food production, nutrition, and insects during summer tours of this unique garden. The Beanstalk includes fruit, vegetable, and herb gardens; a seed and grain garden; the Curiosity Garden, filled with strange and unusual plants; and water garden featuring water lilies and floating hyacinths, fish, and frogs.",1985,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e7cf4d61a3fe0001c5b0eb/picture,"","","","","","","","",""
PKC Commercial Construction,PKC Commercial Construction,Cold,"",19,construction,edward@anvo-insurance.com,http://www.pkcc.com,http://www.linkedin.com/company/pkc-construction-co,"","",7802 Barton St,Lenexa,Kansas,United States,66214,"7802 Barton St, Lenexa, Kansas, United States, 66214","tenant finishout, retail construction, franchise construction, restaurant construction, medical office construction, corporate construction, program management, office construction, commercial remodel, rollout, construction partnership, reimaging projects, client communication, commercial and institutional building construction, client-centric solutions, commercial construction, design-build, brand-specific building requirements, construction site oversight, leed certification, rebranding, national general contractor, vendor management, traveling superintendents, new construction, tenant finish-out, project management, construction, retail and office construction, multi-site roll-out, b2b, healthcare, finance, consumer products & retail, construction & real estate, design build, productivity, health care, health, wellness & fitness, hospital & health care, financial services",'+1 913-782-4646,"Rackspace MailGun, Outlook, Slack, Nginx, Google Analytics, WordPress.org, reCAPTCHA, Gravity Forms, Google Font API, Mobile Friendly, Android, Remote, AI","","","","",9089000,"",69bc21f0bca73300019b7c29,1542,23622,"PKC Construction is a national general contractor centrally located in Kansas City. Drawing on 30 years of experience in commercial construction, we work closely with each client to help them complete their construction goals and realize their true vision. Instead of taking a ""one and done"" approach with our clients, we develop partnerships and long-term relationships.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67078417805e3b0001b0392d/picture,"","","","","","","","",""
Reardon Machine,Reardon Machine,Cold,"",11,mechanical or industrial engineering,edward@anvo-insurance.com,http://www.reardonmachine.com,http://www.linkedin.com/company/reardonmachine,https://facebook.com/reardonmachine,"",5015 SE Highway 169,Saint Joseph,Missouri,United States,64507,"5015 SE Highway 169, Saint Joseph, Missouri, United States, 64507","manufacturing, wire edm, machine shops, support for energy industries, quality management, manual machining, custom parts, multi-axis cnc, tooling design, metal stamping, support equipment, cnc lathe, custom tooling, manual equipment, custom manufacturing, fabrication services, digital blueprints, precision machining, production equipment, cnc milling, inspection services, cnc machining, family-owned business, vibratory finisher, consulting, support for agricultural equipment, automotive parts, b2b, support tools, reverse engineering, industry-specific manufacturing, high precision parts, state-of-the-art technology, cad/cam, industry-specific parts, production reconditioning, large capacity machining, distribution, precision manufacturing, metal fabrication, heat treating, industrial manufacturing, manufacturing industry, preventative maintenance, support for pet food industry, inspection, tool, die, and mold, quality control, special application equipment, production support, engineering services, metal stamping production, metrology, services, precision grinding, tooling and repair, machine repair, mechanical or industrial engineering, machinery, information technology & services",'+1 816-279-0906,"Outlook, GoDaddy Hosting, Mobile Friendly, WordPress.org, Google Font API, Remote, AI","","","","",17774000,"",69bc21f0bca73300019b7c2b,3599,33271,"Reardon Machine Company of St. Joseph, MO was established in 1975 by Joe Reardon. Reardon Machine Company is a family owned and operated business that has grown over the years based on one driving commitment: the Customer is and always will be our number one priority. We will always strive for absolute customer satisfaction.

We have the staff to design, build, repair or modify a wide range of both tooling and machinery. Our team can create new parts to replace parts no longer available. Whatever your need Reardon's Staff approaches every job with customer satisfaction as the primary goal.

To meet the needs of our customers we are continually adding state of the art equipment. We continue to stay on the leading edge of technology. By utilizing a progressive approach to business we can provide our customers with the best value while maintaining high quality workmanship.

Reardon Machine Company is an established reputable manufacturer of precision-machined parts. Reardon's is committed to provide Precision Machining, Fabrication and Engineering services for the Agricultural, Animal Health and Science, Commercial Food and Pet Food processing industries, Energy related industries, Petroleum, Transportation,  Wire Rope and others - by providing quality products and superior customer service.

We go beyond just being a quality manufacturer; Reardon is also an Innovative Custom Design and Fabrication company.",1975,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672f51618a1a4a000109763e/picture,"","","","","","","","",""
Spokes Cafe | Cyclery,Spokes Cafe,Cold,"",13,restaurants,edward@anvo-insurance.com,http://www.spokeskc.com,http://www.linkedin.com/company/spokes-cafe-cyclery,"","",1200 Washington St,Kansas City,Missouri,United States,64105-1415,"1200 Washington St, Kansas City, Missouri, United States, 64105-1415","breakfast sandwiches, food delivery, neighborhood cafe, casual dining, catering, coffee shop, local coffee, gourmet melts, retail, catering services, bike shop combo, delivery, events, breakfast and lunch, artisanal coffee, community hangout, event hosting, full-service cafe, services, beer, lunch menu, cafe, smoothies, local coffee roasters, coffee, b2c, restaurants and other eating places, wines and cocktails, coffee shops, craft beers, local artisanal coffee, food and beverage retailing, consumer products & retail, wine & spirits, food & beverages, consumer goods, consumers","","Outlook, Squarespace ECommerce, Mobile Friendly, Typekit, Android, Remote","","","","","","",69bc21f0bca73300019b7c2e,5812,72251,"Spokes Café | Cyclery is coming to Downtown Kansas City in early 2017. Spokes is unique in that it is a café with a bicycle shop built in. Offerings: full bar. coffee/espresso bar, comfort food, bicycle sales and service.

Coffee | Comfort Food | Bikes | Beer",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66fb778301c812000134b2bc/picture,"","","","","","","","",""
Arthur Bryant's Barbeque,Arthur Bryant's Barbeque,Cold,"",15,restaurants,edward@anvo-insurance.com,http://www.arthurbryantsbbq.com,http://www.linkedin.com/company/arthur-bryants-barbeque,"","",1727 Brooklyn Ave,Kansas City,Missouri,United States,64127,"1727 Brooklyn Ave, Kansas City, Missouri, United States, 64127","catering & parties, restaurants, barbeque, barbeque & catering & parties, online meat ordering, meat smoked, menu, family-friendly, catering, barbecue, food service, barbecue hall of fame inductee, special occasions, restaurants and other eating places, kansas city chiefs, smoked meats, b2c, services, barbecue history, party reservations, barbecue tradition, event catering, sides and sides dishes, bbq sauce, barbecue sauce, d2c, barbecue restaurant, bbq catering, arthur bryant's legacy, famous barbecue sauce, kansas city tradition, special event menus, food delivery, kansas city style bbq, kansas city blues stadium, famous bbq joints, event planning, restaurant history, catering packages, barbecue history in america, catering services, party packs, dining experience, private parties, e-commerce, restaurant, celebrity guests, burnt ends, kansas city, event hosting, kansas city bbq hall of fame, barbecue recipes, barbecue tourism, barbecue culture, ribs, barbecue awards, barbecue competition, social media marketing, henry perry influence, food services and drinking places, uber eats, kansas city barbecue, events services, consumer internet, consumers, internet, information technology & services, marketing & advertising",'+1 816-231-1123,"Gmail, Google Apps, Amazon AWS, Bootstrap Framework, AngularJS, Google Tag Manager, Mobile Friendly, Cloudinary, Remote, Circle","","","","","",2,69bc21f0bca73300019b7c3d,5812,72251,"Arthur Bryant's Legendary Barbeque
Where is the home of the best barbeque in Kansas City? Welcome to Arthur Bryant's Barbeque featuring succulent meat that's slow-smoked with a combination of hickory and oak woods, mellowed to the peak of flavor, then splashed with Arthur Bryant's Original or Rich & Spicy Sauce – our secret recipe. Created by the legendary King of Ribs, Arthur Bryant, our restaurants today continue to honor his legacy of serving the country's finest barbeque. 
Arthur Bryant's features two convenient locations in Kansas City, and both provide in-house dining, banquet, catering and carryout options:

The Original Arthur Bryant's Barbeque
1727 Brooklyn Avenue 
Kansas City, Missouri 64127
 816-231-1123",1930,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e510c4578b600001a1e8ec/picture,"","","","","","","","",""
Custom Control Mfr.,Custom Control Mfr,Cold,"",23,machinery,edward@anvo-insurance.com,http://www.customcontrolmfr.com,http://www.linkedin.com/company/custom-control-mfr,"","",11200 W 93rd St,Overland Park,Kansas,United States,66214-1717,"11200 W 93rd St, Overland Park, Kansas, United States, 66214-1717","analyzerrtu buildings, industrial control integration, food processing, solar power generation, integrated power centers, renewable energy generation, programming services, custom switchracks, aviation fueling, system integration, control panels, power equipment centers, automation machinery manufacturing, food & beverages, consumer goods, consumers",'+1 913-722-0343,"Outlook, Microsoft Office 365, Remote","","","","",16045000,"",69bc21f0bca73300019b7cb3,"","","We are a team of engineers, designers, programmers, and fabricators providing industrial automation solutions. 

As a UL 508A listed facility, we build control panels for all types of facilities, sell Power Distribution Centers, and provide system integration/programming services. 

Partner with our group of professionals who are passionate about simplifying life with automation.",1977,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6729f0b80ecfb40001f93b8f/picture,"","","","","","","","",""
Trumark Homes,Trumark Homes,Cold,"",17,construction,edward@anvo-insurance.com,http://www.markthebuilder.info,http://www.linkedin.com/company/trumarkhomesbluespringsmo,https://www.facebook.com/TrumarkHomesBlueSprings/,"",2616 SE 8th Ter,Blue Springs,Missouri,United States,64014,"2616 SE 8th Ter, Blue Springs, Missouri, United States, 64014","kitchens & baths, real estate, home builder, remodeler, new home construction, construction company, real estate developer, custom home builder, thermal enclosure system, residential building construction, luxury homes, construction management, construction & real estate, landscaping, custom homes, smart homes, high-quality construction, kansas city area, customer service, energy & utilities, home construction, home renovation, energy-efficient homes, services, home design, multigenerational homes, b2c, energy saving components, water management system, zone heating and cooling, home design and construction, home building process, energy star homes, construction, home automation, interior design, hers index, d2c, home automation features, wi-fi hot zones, project management, consumer electronics, consumers, hardware, internet of things, productivity",'+1 816-223-9540,"GoDaddy Hosting, Varnish, YouTube, WordPress.org, Mobile Friendly, Facebook Custom Audiences, Remote","","","","","","",69bc21f0bca73300019b7cb5,1521,23611,"TruMark Homes has been building new homes in the greater Kansas City area for over 30 years. As a Custom Home Builder, we have designed and built hundreds of quality homes from affordable starter homes for first time home buyers to custom built luxury homes for our move up clients. Our experience also includes designing and building senior living communities, multi-family projects, and even local restaurant total makeovers. We have the vision, experience, and knowledge to make your next home one you will love to come home to!

What makes TruMark Homes different? Through open and honest communication throughout the entire process, we foster strong trusting and lasting relationships with our clients. We believe that it is our ""hands-on"" approach that will make your building experience a stress-free and enjoyable process. The big builders have superintendents assigned to your job – you may have very little contact with your builder. Not here – you will be dealing with the custom home builder directly from start to finish. Our focus is on only a few homes at a time – you can be at ease knowing that no detail will be left to chance.

Building is our passion and our goal is that when you choose TruMark Homes as your custom home builder, you will love where you live! Innovative design, customizable features, high-quality construction, and energy saving components are the earmarks of our standards. TruMark Homes has the vision and the passion to help you make your unique dream home a reality.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f93bbcd6aa740001b66904/picture,"","","","","","","","",""
Maceli's Catering & Events,Maceli's Catering & Events,Cold,"",16,hospitality,edward@anvo-insurance.com,http://www.macelis.com,http://www.linkedin.com/company/maceli-s-banquet-hall-catering,https://www.facebook.com/macelisbanquethallandcatering/,"",1031 New Hampshire St,Lawrence,Kansas,United States,66044,"1031 New Hampshire St, Lawrence, Kansas, United States, 66044","professional staff, convention and trade show organizers, event decor, off-site catering, large event hosting, catering services, event execution, event setup, services, community organization support, venue coordination, event design, event planning and management, event catering logistics, corporate events, wedding catering, event management, event technology integration, event staff, venue rental and event space, custom menus, multi-purpose event spaces, event technology, customizable event packages, community engagement events, small event hosting, event space rental, outdoor event space, event catering equipment, wedding rehearsal coordination, event coordination, catering, event catering menus, venue rental, wedding services, consulting, event catering quality, event consultation, local community events, event planning, catering and food services, event catering presentation, event catering service, indoor event space, professional event staff, event catering staff, special event services, event marketing, b2b, audio visual equipment, event catering freshness, event logistics, event planning for nonprofits, full-service event planning, corporate meeting spaces, menu customization, event venues, community events, community involvement, wedding planning, banquet hall, b2c, non-profit, construction & real estate, events services, marketing & advertising, events, nonprofit organization management, caterers, event planning & services, venues & event spaces",'+1 785-331-2096,"Sendgrid, Outlook, Google Cloud Hosting, The Trade Desk, Slack, WordPress.org, Mobile Friendly, Google Font API, reCAPTCHA, Gravity Forms, Google Tag Manager, Remote, Circle","","","","","",1,69bc21f0bca73300019b7cba,7389,56192,"Maceli's Catering & Events located in Downtown Lawrence, Kansas.  Our Ballroom & Lounge comfortably accommodate up to 400 guests. Creating memorable events with exceptional catering is what we do.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686cdf40b6561100016ba076/picture,"","","","","","","","",""
The Don Bosco Centers,The Don Bosco Centers,Cold,"",13,nonprofit organization management,edward@anvo-insurance.com,http://www.donbosco.org,http://www.linkedin.com/company/don-bosco-centers,"","",580 Campbell St,Kansas City,Missouri,United States,64106-1273,"580 Campbell St, Kansas City, Missouri, United States, 64106-1273","community center, senior center, esl school, non-profit organizations, educational support, cultural celebration events, programs for seniors, food drive, food security, local partnerships, food truck friendly, non-profit organization, event space for community events, youth and family programs, gymnasium rental, food services, commercial kitchen, cultural integration, civic and social organizations, senior wellness activities, recreation and sports facilities, social services, transportation assistance, senior activities, community services, educational workshops, senior social activities, food support, adult workforce training, cultural programs, community food drives, volunteer opportunities, senior nutrition, youth programs, holistic health, recreational activities, adult education, community events, education programs, transportation services, immigrant language classes, food support programs, food programs, classroom rental, community development, civic participation, public health support, food pantry, commercial kitchen rental, community engagement, services, community outreach, community support, event space rental, nutrition programs, non-discriminatory programs, kansas city, health and wellness, event spaces, immigrant services, facility rental, civic engagement, senior services, recreational sports facilities, education, b2c, non-profit, transportation & logistics, nonprofit organization management, civic & social organizations, civic & social organization, hospital & health care, health, wellness & fitness",'+1 816-427-0161,"Outlook, Mobile Friendly, Typekit, YouTube, Google Maps","","","","","","",69bc21f0bca73300019b7ccb,8399,81341,"Our mission is to cultivate self-sufficient neighbors for a stronger community. The Don Bosco Centers serves the Kansas City area through a Senior Center, Community Center, and ESL School.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d46daf9dec12000103b023/picture,"","","","","","","","",""
